order_id,product_id,customer_id,order_date,price,quantity,sales_amount,order_status
847211859,23452,3454923,2025-08-27,271.01,1,271.01,completed
871232986,78579,7444241,2025-08-26,300.58,4,1202.32,completed
764606368,99807,3865544,2025-04-18,321.78,3,965.34,completed
725429284,71525,2574879,2025-03-16,212.7,1,212.7,completed
888387734,67815,9264010,2025-04-26,257.46,1,257.46,completed
664913478,56745,3932177,2023-11-14,588.14,1,588.14,returned
129627114,58345,2541726,2024-08-21,432.67,1,432.67,completed
482188437,47649,9422590,2023-06-24,703.33,2,1406.66,completed
583622951,73191,3401907,2024-03-08,740.72,1,740.72,completed
365675898,21886,2544389,2025-03-20,449.89,1,449.89,completed
511672348,57650,1589008,2023-08-19,819.02,1,819.02,completed
485198208,74360,8139479,2023-08-05,376.11,4,1504.44,completed
585321255,99048,9724671,2025-05-19,89.24,2,178.48,completed
125388645,70433,6439867,2025-07-04,29.14,1,29.14,completed
100372810,20003,7899000,2024-11-04,681.73,1,681.73,returned
332564229,42966,1883098,2025-03-27,119.24,1,119.24,completed
940409094,62268,7763254,2025-11-10,652.05,1,652.05,completed
386951128,83373,7586718,2023-11-24,813.23,1,813.23,completed
853564982,55568,4302734,2024-11-19,243.34,1,243.34,completed
884668767,94829,1625924,2023-12-24,784.55,1,784.55,completed
617473425,88664,5036050,2023-11-13,671.45,2,1342.9,completed
816198715,37554,4683694,2023-09-10,,1,138.01, RETURNED
216257354,78767,9717621,2025-02-14,48.72,2,97.44,completed
997358815,85047,5080197,2025-12-04,865.71,1,865.71,completed
792819864,74262,7763855,2025-08-13,489.95,1,489.95,completed
137298228,62186,9263532,2024-09-15,630.16,3,1890.48,completed
610909533,28666,8603302,2025-11-22,579.97,1,579.97,completed
240544838,65130,5490069,2023-07-22,709.3,1,709.3,completed
500930584,94514,6655804,2024-11-03,148.52,3,445.56,completed
111091424,81517,6515873,2024-11-24,785.43,1,785.43,completed
218520369,83066,9419165,2024-12-27,460.67,1,460.67,completed
917439962,62186,5274854,2024-10-10,512.31,2,1024.62,completed
825498493,23452,8023433,2023-07-01,818.41,1,818.41,completed
958184043,65340,2824645,2023-08-16,531.67,,1063.34,returned
200010537,16407,5090564,2023-06-05,292.69,1,292.69,completed
991241851,48288,7004608,2024-09-09,192.84,5,964.2,completed
183659786,98382,4038664,2025-11-27,371.52,4,1486.08,completed
780230004,98382,8161542,2023-12-25,498.09,1,498.09,completed
120579993,21886,9397613,2023-08-26,844.1,1,844.1,completed
898950355,77233,1704568,2023-12-26,732.93,1,732.93,completed
547738881,21886,9383214,2023-02-14,224.86,1,224.86,completed
354410744,77085,1764065,2024-11-07,243.69,1,243.69,completed
194105576,91567,6089269,2023-01-26,169.54,1,169.54,completed
764968844,13326,1720263,2024-09-09,629.77,1,629.77,completed
573891534,62701,9190157,2024-09-07,120.95,1,120.95,completed
344626541,97881,4460128,2024-04-14,80.75,3,242.25,completed
288001806,74262,9921846,2024-07-01,744.07,2,1488.14,completed
212957927,28466,8221682,2023-12-21,448.9,1,448.9,completed
318838624,21752,1590385,2024-11-20,887.7,1,887.7,completed
906467596,25992,1238678,2024-01-25,238.35,1,238.35,completed
706925409,39428,9203139,2023-05-20,514.18,2,1028.36,completed
424832887,13242,7107643,2023-07-04,302.08,1,302.08,completed
384988523,91567,7107643,2024-10-16,,1,541.91,completed
279907810,54616,8490528,2024-12-27,288.32,1,288.32,completed
784087793,91459,9352929,2025-10-07,70.41,3,211.23,completed
346929525,25992,1214308,2025-11-11,245.02,2,490.04,completed
605593579,76369,8908357,2025-10-10,506.99,1,506.99, RETURNED
464961720,42966,7190435,2024-12-01,843.54,3,2530.62,completed
388693216,51875,9897146,2025-06-01,109.21,4,436.84,completed
126198775,21886,5083335,2024-09-16,136.89,,136.89,completed
522734839,65130,2492006,2023-12-25,849.5,1,849.5,completed
986698845,62064,8091365,2023-11-17,120.45,1,120.45,completed
